"","x"
"1","AUTHKEY({water management} OR {pollution control} OR {ecosystem} OR {Danube} OR {Danube Delta} OR {climate change} OR {environmental protection} OR {biodiversity} OR {flood risk} OR {sustainable development} OR {biomaterials} OR {biofuels} OR {nanomaterials} OR {bioeconomy} OR {biobanking} OR {Black Sea}) AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"2","AUTHKEY(""water management"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"3","AUTHKEY(""pollution control"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"4","AUTHKEY(""ecosystem"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"5","AUTHKEY(""Danube"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"6","AUTHKEY(""Danube Delta"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"7","AUTHKEY(""climate change"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"8","AUTHKEY(""environmental protection"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"9","AUTHKEY(""biodiversity"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"10","AUTHKEY(""flood risk"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"11","AUTHKEY(""sustainable development"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"12","AUTHKEY(""biomaterials"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"13","AUTHKEY(""biofuels"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"14","AUTHKEY(""nanomaterials"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"15","AUTHKEY(""bioeconomy"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"16","AUTHKEY(""biobanking"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
"17","AUTHKEY(""Black Sea"") AND PUBYEAR > 1998 AND PUBYEAR < 2016"
