"version","date","pkgs"
"1.7",2004-10-01,235
"1.8",2004-10-01,290
"1.9",2004-12-11,390
"2.0",2005-04-19,464
"2.1",2005-11-09,586
"2.2",2006-05-30,701
"2.3",2006-10-05,820
"2.4",2007-06-26,1008
"2.5",2007-11-23,1169
"2.6",2008-06-25,1383
"2.7",2008-12-14,1556
"2.8",2009-06-25,1757
"2.9",2010-01-28,2067
"2.10",2010-10-08,2463
"2.11",2011-04-14,2836
"2.12",2011-10-30,3250
"2.13",2012-02-28,3491
"2.14",2013-04-01,4184
"2.15",2014-04-10,5096
"2.16",2015-04-18,6280
"3.0",2015-04-18,6280
"3.1",2016-05-03,8010
"3.2",2017-04-21,10138
"3.3",2018-04-23,12238
"3.4",2018-06-28,12585
"3.5",2018-06-29,12591
"3.6",2018-06-29,12591
